SAMPLE_ID	mutations	cna	structural_variants
P-0037914-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037965-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037994-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038053-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038121-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038172-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038268-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038442-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038442-T04-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038443-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038443-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0038518-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0038658-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038754-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038763-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038790-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038790-T02-IM7	IMPACT505	IMPACT505	IMPACT505
P-0038821-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038821-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0038821-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0038821-T04-XS1	ACCESS129	ACCESS129	ACCESS129
P-0038821-T05-XS1	ACCESS129	ACCESS129	ACCESS129
P-0038992-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039021-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039021-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0039029-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039078-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039078-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0039078-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0039079-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039257-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039257-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0039257-T03-IM7	IMPACT505	IMPACT505	IMPACT505
P-0039387-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039390-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039416-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039544-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039647-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039676-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039737-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039738-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039795-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039795-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0039863-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039869-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039879-T04-XS1	ACCESS129	ACCESS129	ACCESS129
P-0039945-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039952-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039968-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0039973-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040034-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040034-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040078-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040078-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0040127-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040133-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040134-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040145-T01-IM6	IMPACT468	IMPACT468	IMPACT468
